word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
city,the,67.89%,a,5.5%,kansas,3.67%
thousand,a,18.67%,hundred,16.0%,ten,13.33%
heard,he,22.73%,had,19.7%,and,10.61%
called,was,16.92%,they,10.77%,he,9.23%
gone,had,40.51%,was,16.46%,have,8.86%
party,the,50.0%,a,8.93%,old,5.36%
got,he,23.89%,and,12.78%,had,7.78%
course,of,85.14%,the,9.46%,a,1.35%
sat,he,34.72%,they,11.11%,and,11.11%
cattle,the,24.56%,of,17.54%,thousand,3.51%
week,a,54.43%,the,8.86%,every,8.86%
boss,the,61.4%,his,10.53%,a,7.02%
gave,he,22.5%,and,13.75%,she,10.0%
packers,the,94.12%,independent,1.47%,big,1.47%
don't,i,42.62%,why,13.11%,we,4.92%
chance,a,48.39%,his,4.84%,only,3.23%
wild,a,22.64%,the,16.98%,some,5.66%
